nconst,primaryName,First Name,Last Name,birthYear,deathYear,primaryProfession,knownForTitles,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",race
nm0000190,Matthew McConaughey,Matthew,McConaughey,1969,\N,"actor,producer,soundtrack","tt1915581,tt1935179,tt0816692,tt0790636",0.0024025068,0.0002485871,0.001406652,0.002264125,0.00024407978,0.93271226,0.0002656695,0.005730884,0.036462802,0.0005019161,0.0079427045,0.00908964,0.00072802923,"GreaterEuropean,British"
nm0000653,Brent Spiner,Brent,Spiner,1949,\N,"actor,soundtrack,director","tt1628841,tt0111280,tt0117731,tt0253754",0.0041821892,0.010889372,0.0031059112,0.0150317615,0.0087167425,0.19908938,0.017526118,0.27201247,0.1262787,0.049071684,0.009368575,0.0051131295,0.279614,"GreaterEuropean,WestEuropean,Nordic"
nm0344188,Robert Grubb,Robert,Grubb,1950,\N,actor,"tt0082432,tt0089530,tt0079596,tt0088519",0.001993588,0.000992047,0.004633781,0.00385996,0.0011503546,0.89911246,0.0041132737,0.044123255,0.022520801,0.006193421,0.0051678508,0.0032754696,0.00286366,"GreaterEuropean,British"
nm0170381,Tim Colceri,Tim,Colceri,1951,\N,"actor,director,casting_director","tt0093058,tt0116213,tt0115210,tt3798582",0.0021290404,0.00447614,0.005336909,0.05238017,0.029721858,0.10417547,0.01202657,0.024779024,0.044584777,0.02218299,0.15891035,0.534833,0.004463679,"GreaterEuropean,WestEuropean,Italian"
nm0214860,Raffaello Degruttola,Raffaello,Degruttola,\N,\N,"actor,director,producer","tt1734493,tt1979320,tt0830515,tt14078108",7.384038e-05,0.00014474546,7.650615e-05,0.0010480247,0.00014190076,0.011755542,0.00031313955,0.0025902549,0.004472779,0.00013665437,0.015720071,0.9632624,0.0002642216,"GreaterEuropean,WestEuropean,Italian"
nm3180472,Alan Bagh,Alan,Bagh,\N,\N,"actor,producer,writer","tt13668894,tt1266020,tt10196720,tt3686708",0.0019249156,0.0011006902,0.03024962,0.0035138912,0.019792048,0.8511995,0.0012028761,0.056062303,0.003601309,0.00013837586,0.024433821,0.006461466,0.00031913252,"GreaterEuropean,British"
nm0665265,Patcharawan Patarakijjanon,Patcharawan,Patarakijjanon,\N,\N,actress,tt0163978,0.0013548263,1.6391445e-05,0.97496253,0.003791764,0.0094442,0.006747831,0.0019183371,0.00089893246,2.956668e-05,1.5100491e-05,0.00063356827,9.9511766e-05,8.74305e-05,"Asian,IndianSubContinent"
nm3636365,Alfred Robles,Alfred,Robles,\N,\N,"actor,writer","tt8493638,tt21193916,tt1545510,tt8403536",0.0010850056,0.0012148393,0.009595892,0.002407453,0.0012521617,0.9041128,0.0011679346,0.014850875,0.043241136,0.0037435621,0.011811718,0.003760064,0.0017565254,"GreaterEuropean,British"
nm1501235,Noel Johansen,Noel,Johansen,\N,\N,actor,"tt5957766,tt6467294,tt4648586,tt1655441",0.0005474726,0.0019283997,0.0011959361,0.0010868891,0.00020887643,0.048158735,0.0009259109,0.010368578,0.0026142807,0.009285062,0.0060754055,0.0023236861,0.9152808,"GreaterEuropean,WestEuropean,Nordic"
nm1298134,Clark Bartram,Clark,Bartram,\N,\N,"actor,stunts,camera_department","tt1270291,tt0420324,tt0374526,tt3181178",0.0011284872,0.0040547815,0.0018414257,0.0034342818,0.0002154492,0.86202,0.00032338712,0.06328892,0.036501892,0.0005285329,0.011620662,0.014408046,0.0006341118,"GreaterEuropean,British"
nm3783715,Natalie Makenna,Natalie,Makenna,1982,\N,actress,"tt3161382,tt2207778,tt1353281,tt3102924",0.0066682915,0.12936047,0.032571245,0.093959376,0.20430686,0.18376788,0.034706663,0.08932803,0.08859342,0.0056570205,0.0855179,0.042785052,0.002777827,"GreaterAfrican,Muslim"
nm0000492,Jennifer Jason Leigh,Jennifer,Jason Leigh,1962,\N,"actress,producer,soundtrack","tt0105414,tt0108122,tt3460252,tt0109642",0.006187332,0.0031422614,0.002469257,0.0012346043,0.0027058772,0.92430085,0.0020447124,0.019126672,0.0066576633,0.0019040329,0.012476978,0.016057735,0.0016920953,"GreaterEuropean,British"
nm0122688,Heather Burns,Heather,Burns,1975,\N,"actress,writer,soundtrack","tt0212346,tt0313737,tt4034228,tt0128853",0.0022047884,0.001540177,0.0018306685,0.0020808985,0.0005183064,0.95174086,0.0014422406,0.01771001,0.007516532,0.0016298429,0.0061220243,0.0030672946,0.0025964724,"GreaterEuropean,British"
nm0165049,Warren Clarke,Warren,Clarke,1947,2014,"actor,producer,director","tt0147760,tt0066921,tt0083943,tt0088286",0.0046635284,0.0015379866,0.0014957971,0.00726235,0.00047442538,0.93430686,0.0006200125,0.02148631,0.0070110676,0.0009552869,0.008527035,0.006878961,0.0047803945,"GreaterEuropean,British"
nm1811454,Jillian Schmitz,Jillian,Schmitz,\N,\N,"actress,miscellaneous,writer","tt0844441,tt1863526,tt5788792,tt4370596",0.0041404623,0.0052454523,0.002923404,0.0020491458,0.003359493,0.23554114,0.031531073,0.30557585,0.15299237,0.20683682,0.014474585,0.019167578,0.016162584,"GreaterEuropean,Jewish"
nm0852132,Christine Taylor,Christine,Taylor,1971,\N,"actress,soundtrack,writer","tt0120888,tt0196229,tt0364725,tt0118073",0.011728518,0.00082169945,0.004716178,0.011832139,0.0033192916,0.8898007,0.00097269134,0.009446886,0.030502295,0.0018044929,0.021502355,0.0080759,0.005476688,"GreaterEuropean,British"
nm2233310,Matthew Mercer,Matthew,Mercer,1982,\N,"actor,director,producer","tt2842418,tt4741306,tt1666278,tt3370540",0.0024163635,0.0009688812,0.003492091,0.0018171703,0.0005686516,0.8956556,0.0006003855,0.03359494,0.04680492,0.0018468079,0.005425682,0.0054506897,0.0013578868,"GreaterEuropean,British"
nm0912001,Jack Warden,Jack,Warden,1920,2006,"actor,soundtrack","tt0050083,tt0078841,tt0114924,tt0078718",0.004655536,0.004110058,0.00083296915,0.0014539575,0.00016026245,0.92033803,0.0010167845,0.04796443,0.007118793,0.005342245,0.003360559,0.0032390582,0.0004072286,"GreaterEuropean,British"
nm2322853,Claire Holt,Claire,Holt,1988,\N,actress,"tt2932536,tt1758575,tt0491603,tt2632424",0.006462156,0.0046544475,0.005891974,0.011150042,0.002575819,0.8148697,0.0016094272,0.051155183,0.054218028,0.0015721867,0.014327045,0.02763217,0.0038816815,"GreaterEuropean,British"
nm1006881,Brian C. Donnelly,Brian,C. Donnelly,\N,\N,"actor,camera_department,producer","tt0321356,tt0272069,tt0301393,tt0278410",0.0032052253,0.0017188326,0.0023634941,0.0031853828,0.0004802181,0.9326377,0.0007995243,0.025518844,0.015792431,0.0011697902,0.005864803,0.006030578,0.0012331897,"GreaterEuropean,British"
nm0165101,Patricia Clarkson,Patricia,Clarkson,1959,\N,"actress,producer,soundtrack","tt1130884,tt0340377,tt0297884,tt0120689",0.02442006,0.009153956,0.0019497705,0.0051312516,0.003842038,0.7432751,0.012923164,0.023282425,0.04048994,0.010262695,0.058685604,0.04584907,0.02073491,"GreaterEuropean,British"
nm4131246,Nicole Pursell,Nicole,Pursell,\N,\N,"production_designer,actress,miscellaneous","tt6572694,tt3302654,tt4480568,tt7201818",0.008269206,0.0018607345,0.013519764,0.01951341,0.005412891,0.7003419,0.0056653623,0.024700165,0.123436265,0.008776496,0.01758924,0.055583548,0.015330938,"GreaterEuropean,British"
nm1512166,Jamie Chung,Jamie,Chung,1983,\N,"actress,producer","tt2245084,tt1734433,tt4396630,tt3749900",0.9847093,0.0017658358,0.00026635063,3.3766843e-05,5.4242123e-06,0.010353294,0.0001622423,0.00026789005,0.00027837197,3.226489e-05,0.00192681,8.430588e-05,0.00011426597,"Asian,GreaterEastAsian,EastAsian"
nm2304132,Jack Derges,Jack,Derges,1987,\N,"actor,assistant_director","tt2678354,tt2123265,tt4122068,tt6079772",0.0059922207,0.01341829,0.0011170183,0.0014985359,0.0003393379,0.8205613,0.0025538623,0.0966871,0.022229059,0.020438036,0.006984222,0.0069534676,0.0012275858,"GreaterEuropean,British"
nm2435012,Hanlon Smith-Dorsey,Hanlon,Smith-Dorsey,\N,\N,"actor,writer,camera_department","tt1692235,tt0473351,tt3092224,tt2251409",0.002157076,0.0059899753,0.0040066014,0.049293112,0.005705501,0.76754904,0.00059499306,0.037584223,0.0074397125,0.0006167359,0.02506737,0.070115045,0.023880634,"GreaterEuropean,British"
nm0006826,Stacey Travis,Stacey,Travis,\N,\N,actress,"tt1282140,tt0162346,tt0132347,tt0138524",0.0038175639,0.0016756346,0.0026425417,0.0049990965,0.004608534,0.83077914,0.002985628,0.07181183,0.04645892,0.0012665627,0.019237628,0.007967922,0.0017489962,"GreaterEuropean,British"
nm2436587,Mick Partridge,Mick,Partridge,1986,\N,"producer,director,actor","tt0785077,tt1699147,tt3118452,tt3240784",0.0061280373,0.003571936,0.0036088296,0.0034152728,0.00019442545,0.91733116,0.0004621611,0.032483373,0.0134205,0.0005739723,0.0079058455,0.010635966,0.0002686197,"GreaterEuropean,British"
nm5084656,Willis Earl Beal,Willis,Earl Beal,\N,\N,"soundtrack,actor,music_department","tt0487189,tt1620935,tt3092606,tt6045840",0.007547377,0.0025033471,0.001109247,0.0027390593,0.00022462146,0.9316177,0.0018638892,0.011936117,0.024625076,0.0017204423,0.010597857,0.0030590221,0.00045632577,"GreaterEuropean,British"
nm2632545,Jay Hayden,Jay,Hayden,1987,\N,actor,"tt4396862,tt6473344,tt7053188,tt2187319",0.0014438833,0.0021543629,0.0023349153,0.0028171816,0.00046190186,0.93253416,0.0023913134,0.027489996,0.0140082035,0.002840397,0.002101602,0.004211452,0.0052105812,"GreaterEuropean,British"
nm0032501,John Aprea,John,Aprea,1941,\N,"actor,producer","tt0062765,tt0102526,tt0071562,tt0368008",0.0022821813,0.005364789,0.0014026958,0.00465515,0.00024319725,0.20672195,0.0014957493,0.010841648,0.03045025,0.0035089974,0.008743549,0.72354,0.0007497807,"GreaterEuropean,WestEuropean,Italian"
nm0025891,Mig Macario,Mig,Macario,\N,\N,"actor,casting_department,miscellaneous","tt7043012,tt1843230,tt0452046,tt6111130",0.0018991252,0.034937635,0.003541949,0.007213062,0.007914474,0.07415963,0.005166834,0.019164398,0.06961854,0.011583484,0.03672749,0.7251148,0.0029586132,"GreaterEuropean,WestEuropean,Italian"
nm0000093,Brad Pitt,Brad,Pitt,1963,\N,"producer,actor,soundtrack","tt0356910,tt0114746,tt0421715,tt1210166",0.004213034,0.0028847703,0.04005741,0.010050988,0.013660904,0.75749403,0.020410879,0.08944823,0.030387027,0.006660203,0.012266992,0.009143167,0.0033224325,"GreaterEuropean,British"
