nconst,primaryName,First Name,Last Name,birthYear,deathYear,primaryProfession,knownForTitles
nm0000190,Matthew McConaughey,Matthew,McConaughey,1969,\N,"actor,producer,soundtrack","tt1915581,tt1935179,tt0816692,tt0790636"
nm0000653,Brent Spiner,Brent,Spiner,1949,\N,"actor,soundtrack,director","tt1628841,tt0111280,tt0117731,tt0253754"
nm0344188,Robert Grubb,Robert,Grubb,1950,\N,actor,"tt0082432,tt0089530,tt0079596,tt0088519"
nm0170381,Tim Colceri,Tim,Colceri,1951,\N,"actor,director,casting_director","tt0093058,tt0116213,tt0115210,tt3798582"
nm0214860,Raffaello Degruttola,Raffaello,Degruttola,\N,\N,"actor,director,producer","tt1734493,tt1979320,tt0830515,tt14078108"
nm3180472,Alan Bagh,Alan,Bagh,\N,\N,"actor,producer,writer","tt13668894,tt1266020,tt10196720,tt3686708"
nm0665265,Patcharawan Patarakijjanon,Patcharawan,Patarakijjanon,\N,\N,actress,tt0163978
nm3636365,Alfred Robles,Alfred,Robles,\N,\N,"actor,writer","tt8493638,tt21193916,tt1545510,tt8403536"
nm1501235,Noel Johansen,Noel,Johansen,\N,\N,actor,"tt5957766,tt6467294,tt4648586,tt1655441"
nm1298134,Clark Bartram,Clark,Bartram,\N,\N,"actor,stunts,camera_department","tt1270291,tt0420324,tt0374526,tt3181178"
nm3783715,Natalie Makenna,Natalie,Makenna,1982,\N,actress,"tt3161382,tt2207778,tt1353281,tt3102924"
nm0000492,Jennifer Jason Leigh,Jennifer,Jason Leigh,1962,\N,"actress,producer,soundtrack","tt0105414,tt0108122,tt3460252,tt0109642"
nm0122688,Heather Burns,Heather,Burns,1975,\N,"actress,writer,soundtrack","tt0212346,tt0313737,tt4034228,tt0128853"
nm0165049,Warren Clarke,Warren,Clarke,1947,2014,"actor,producer,director","tt0147760,tt0066921,tt0083943,tt0088286"
nm1811454,Jillian Schmitz,Jillian,Schmitz,\N,\N,"actress,miscellaneous,writer","tt0844441,tt1863526,tt5788792,tt4370596"
nm0852132,Christine Taylor,Christine,Taylor,1971,\N,"actress,soundtrack,writer","tt0120888,tt0196229,tt0364725,tt0118073"
nm2233310,Matthew Mercer,Matthew,Mercer,1982,\N,"actor,director,producer","tt2842418,tt4741306,tt1666278,tt3370540"
nm0912001,Jack Warden,Jack,Warden,1920,2006,"actor,soundtrack","tt0050083,tt0078841,tt0114924,tt0078718"
nm2322853,Claire Holt,Claire,Holt,1988,\N,actress,"tt2932536,tt1758575,tt0491603,tt2632424"
nm1006881,Brian C. Donnelly,Brian,C. Donnelly,\N,\N,"actor,camera_department,producer","tt0321356,tt0272069,tt0301393,tt0278410"
nm0165101,Patricia Clarkson,Patricia,Clarkson,1959,\N,"actress,producer,soundtrack","tt1130884,tt0340377,tt0297884,tt0120689"
nm4131246,Nicole Pursell,Nicole,Pursell,\N,\N,"production_designer,actress,miscellaneous","tt6572694,tt3302654,tt4480568,tt7201818"
nm1512166,Jamie Chung,Jamie,Chung,1983,\N,"actress,producer","tt2245084,tt1734433,tt4396630,tt3749900"
