tconst,ordering,nconst,category,characters
tt0069049,1,nm0001379,actor,[Jake Hannaford]
tt0069049,2,nm0462648,actress,[The Actress]
tt0069049,3,nm0000953,actor,[Brooks Otterlake]
tt0069049,4,nm0001782,actress,[Julie Rich]
tt0096056,1,nm0000417,actor,[Rodion Raskolnikov]
tt0096056,2,nm0000603,actress,[Rodion's Mother]
tt0096056,3,nm0000457,actor,[Porfiry - Chief Investigator]
tt0096056,4,nm0452288,actress,[Mrs. Katerina Marmelodov]
tt0115005,1,nm0523735,actress,[Wenxiu (Xiu Xiu)]
tt0115005,2,nm0520276,actor,[Lao Jin]
tt0115005,3,nm0702639,actor,[Li Chuanbei]
tt0115005,4,nm0304711,actress,[Mother]
tt0117276,1,nm0748620,actor,[Wyatt Trips]
tt0117276,2,nm0852132,actress,[Kimberly Jasney]
tt0117276,3,nm0000702,actress,[Ivy Miller]
tt0117276,4,nm0798971,actress,[Turran]
tt0118141,1,nm0088330,actor,[The young man]
tt0118141,2,nm1816435,actor,[The young man's alter ego]
tt0118141,3,nm0299305,actress,[The young man's fantasy girl]
tt0118141,4,nm1828210,actor,"[Dueling Demi-God Auteur,The Young Man's Uber Ego]"
tt0118301,1,nm0779866,actor,[Josh]
tt0118301,2,nm0004971,actor,[Cooper]
tt0118301,3,nm0599889,actress,[Rachel]
tt0118301,4,nm0613147,actor,[Cliff]
tt0118539,1,nm0000756,actress,[Medusa]
tt0118539,2,nm0001356,actor,[Dave Dragon]
tt0118539,3,nm0001815,actor,[Lothar Zogg]
tt0118539,4,nm0939378,actor,[Grandpa Mori]
tt0118577,1,nm0641939,actor,[James Edmunds]
tt0118577,2,nm0004839,actor,[Dion Brothers]
tt0118577,3,nm0195982,actor,[Leon Brothers]
tt0118577,4,nm0001385,actor,[Alan Smithee]
tt0118589,1,nm0001014,actress,[Billie Frank]
tt0118589,2,nm0073160,actor,[Rafael]
tt0118589,3,nm0066586,actor,[Julian Dice]
tt0118589,4,nm0004771,actress,[Louise]
tt0118621,1,nm0000619,actor,[Henry]
tt0118621,2,nm0000815,actress,[Fatima]
tt0118621,3,nm0001768,actor,[Fontina]
tt0118621,4,nm0001682,actor,[Tollkeeper]
tt0118636,1,nm0005212,actor,[Kurt Dussander]
tt0118636,2,nm0000605,actor,[Todd Bowden]
tt0118636,3,nm0005045,actor,[Joey]
tt0118636,4,nm0183170,actor,[Sociology Teacher]
tt0118643,1,nm0000686,actor,[Gabriel]
tt0118643,2,nm0005568,actor,[Danyael]
tt0118643,3,nm0000884,actress,[Valerie Rosales]
tt0118643,4,nm0005261,actress,[Izzy]
tt0118661,1,nm0000146,actor,[John Steed]
tt0118661,2,nm0000235,actress,[Dr. Emma Peel]
tt0118661,3,nm0000125,actor,[Sir August de Wynter]
tt0118661,4,nm0001495,actor,[Invisible Jones]
tt0118665,1,nm0000678,actress,[Elena]
tt0118665,2,nm0000502,actor,[Heep]
tt0118665,3,nm0000326,actress,[Robin]
tt0118665,4,nm0001493,actor,[Dan]
tt0118715,1,nm0000313,actor,[The Dude]
tt0118715,2,nm0000422,actor,[Walter Sobchak]
tt0118715,3,nm0000194,actress,[Maude Lebowski]
tt0118715,4,nm0000114,actor,[Theodore Donald 'Donny' Kerabatsos]
tt0118736,1,nm0265957,actor,[Buddy]
tt0118736,2,nm0570228,actor,[The Kid]
tt0118736,3,nm0207101,actress,[Mother]
tt0118736,4,nm0310032,actor,[Death]
tt0118744,1,nm0001448,actress,[Martha Baring]
tt0118744,2,nm0000569,actress,[Helen Baring]
tt0118744,3,nm0000628,actor,[Jackson Baring]
tt0118744,4,nm0001225,actress,[Alice Baring]
tt0118747,1,nm0000101,actor,[Elwood Blues]
tt0118747,2,nm0000422,actor,[Mighty Mack McTeer]
tt0118747,3,nm0505979,actor,[Same Guard]
tt0118747,4,nm0205569,actor,[Prison Clerk]
tt0118766,1,nm0005531,actor,[Danny Quinn]
tt0118766,2,nm0000535,actress,[Kathy Quinn]
tt0118766,3,nm0575198,actress,[Mrs. Quinn]
tt0118766,4,nm0862937,actor,[Colie Powers]
tt0118789,1,nm0001252,actor,[Billy Brown]
tt0118789,2,nm0000207,actress,[Layla]
tt0118789,3,nm0001262,actor,[Jimmy Brown]
tt0118789,4,nm0000620,actor,[The Bookie]
tt0118798,1,nm0000886,actor,[Jay Bulworth]
tt0118798,2,nm0000932,actress,[Nina]
tt0118798,3,nm0011129,actress,[Denisha]
tt0118798,4,nm0034509,actor,[Debate Director]
tt0118836,1,nm0005488,actor,[Edison]
tt0118836,2,nm0005489,actress,[Natalie Stockwell]
tt0118836,3,nm0588777,actor,[Bradford McMillan]
tt0118836,4,nm0000079,actress,[Grace Kosik]
tt0118840,1,nm0303925,actor,[Charles Manson]
tt0118840,2,nm0685745,actor,[Charles 'Tex' Watson]
tt0118840,3,nm0650574,actress,[Patty Krenwinkel]
tt0118840,4,nm0021500,actress,[Susan 'Sadie' Atkins]
tt0118852,1,nm0000199,actor,[Harry Levine]
tt0118852,2,nm0001583,actor,[Jake Manheim]
tt0118852,3,nm0283299,actress,[Joanna]
tt0118852,4,nm0568375,actress,[Mavis]
tt0118863,1,nm0001618,actor,[Clay]
tt0118863,2,nm0000681,actor,[Lester]
tt0118863,3,nm0000413,actress,[Agent Shelby]
tt0118863,4,nm0819440,actor,[Earl]
tt0118892,1,nm0001517,actress,[Veronica Franco]
tt0118892,2,nm0001722,actor,[Marco Venier]
tt0118892,3,nm0001624,actor,[Maffio Venier]
tt0118892,4,nm0911542,actor,[Domenico Venier]
tt0118925,1,nm0005227,actor,[Keller Coleman]
