tconst,directors,writers
tt0035423,nm0003506,"nm0737216,nm0003506"
tt0069049,nm0000080,"nm0000080,nm0462648"
tt0096056,nm0324875,"nm0234502,nm0324875"
tt0112444,nm0496417,nm0339102
tt0115005,nm0001040,"nm0001040,nm0945802"
tt0116891,nm0503635,\N
tt0117276,nm0089176,"nm0781225,nm0089237"
tt0118141,nm0000417,nm0000417
tt0118301,nm0169874,"nm0009159,nm0110791,nm0870592,nm0925234"
tt0118539,nm0573732,"nm0573732,nm0680485"
tt0118577,"nm0002137,nm0000647",nm0000390
tt0118589,nm0193554,"nm0921985,nm0486824"
tt0118621,nm0223939,nm0223939
tt0118636,nm0001741,"nm0000175,nm0101625"
tt0118643,nm0817770,"nm0927074,nm0338557,nm0817770"
tt0118661,nm0154819,"nm0628285,nm0534207"
tt0118665,nm0163706,"nm0666999,nm0559228,nm0335835,nm0163706,nm0584121"
tt0118715,"nm0001054,nm0001053","nm0001053,nm0001054"
tt0118736,nm0612812,"nm0265957,nm0612812"
tt0118744,nm0200978,"nm0200978,nm0750608"
tt0118747,nm0000484,"nm0000101,nm0000484"
tt0118766,nm0790291,"nm0191907,nm0572302,nm0790291"
tt0118789,nm0001252,"nm0001252,nm0046750"
tt0118798,nm0000886,"nm0000886,nm0683282"
tt0118836,nm0005618,"nm0784682,nm0583397,nm0005618"
tt0118840,nm0885666,nm0885666
tt0118852,nm0000199,nm0507277
tt0118863,nm0229694,nm0372356
tt0118892,nm0380980,"nm0742796,nm0231639"
tt0118925,nm0564827,nm0564827
tt0118926,nm0000518,nm0787649
tt0118929,nm0001639,"nm0001639,nm0229644,nm0275286"
tt0118956,nm0814085,nm0814085
tt0118966,nm0775447,nm0458318
tt0118998,nm0858525,"nm0517452,nm0560894,nm0505648"
tt0119004,nm0730222,"nm0039192,nm0065818,nm0730222,nm0836476,nm0923673"
tt0119033,nm0415617,"nm0289439,nm0415617"
tt0119053,nm0001302,"nm0638358,nm0938152,nm0354863"
tt0119079,nm0276397,"nm0262167,nm0701090,nm0407199"
tt0119099,nm0387706,nm0443582
tt0119185,nm0022828,"nm1504567,nm2483598,nm2027816,nm0022828,nm2496260"
tt0119196,nm0000265,"nm0001300,nm0370879"
tt0119219,nm0423646,"nm0670278,nm0169505,nm0812513"
tt0119223,nm0190859,"nm0002042,nm0322248"
tt0119238,nm0147985,nm0343419
tt0119304,nm0661751,nm0319213
tt0119313,nm0001845,nm0737216
tt0119314,nm0000602,"nm0263097,nm0744839,nm0481418"
tt0119336,nm0237292,nm0704792
tt0119346,nm0687739,"nm0687739,nm0895509"
tt0119416,nm0706311,"nm0002485,nm0706311"
tt0119505,nm0946811,"nm0440140,nm0017305"
tt0119508,nm0213983,"nm0585677,nm0325234,nm0213983"
tt0119517,nm0001438,nm0001438
tt0119522,nm0141222,"nm0382985,nm0589330,nm0005591"
tt0119560,nm0122653,nm0122653
tt0119594,nm0000914,"nm0000914,nm0751720"
tt0119639,nm0278735,"nm0239301,nm0714977"
tt0119643,nm0000976,"nm0651592,nm0719734,nm0905458,nm0325743,nm0143281,nm0274923,nm0027173,nm0499628"
tt0119670,nm0155093,"nm0679917,nm0495378"
tt0119683,nm0000806,"nm0401076,nm0947913"
tt0119692,nm0582186,nm0582186
tt0119728,nm0249316,nm0249316
tt0119734,nm0676361,nm0676361
tt0119778,nm0026442,"nm0026442,nm0891299"
tt0119781,nm0362738,nm0275286
tt0119802,nm0001130,"nm0035836,nm0001459"
tt0119865,nm0769522,"nm0000513,nm0769522"
tt0119872,nm0004689,"nm0362402,nm0313274,nm0076791,nm0592573"
tt0119891,nm0152640,nm0465588
tt0119892,nm0134176,nm0724953
tt0119905,nm0001084,nm0001084
tt0119910,nm0175115,nm0175115
tt0119931,nm0152284,nm0152284
tt0119934,nm0001801,"nm0001801,nm0601465"
tt0119942,nm0001566,"nm0458826,nm0561938"
tt0119986,nm0006578,nm0000455
tt0119988,nm0779011,nm0779011
tt0120008,nm0298807,nm0003535
tt0120070,nm0031342,nm0650601
tt0120088,nm0825790,nm0918973
tt0120108,nm0322128,nm0707931
tt0120131,"nm0740311,nm0480349","nm0462164,nm0546083,nm0935053,nm0903392,nm0201304,nm0609600,nm0744793,nm0566407,nm0774792,nm0190870,nm0575293,nm0731271,nm0941314"
tt0120135,nm0001710,nm0825767
tt0120148,nm0398185,nm0398185
tt0120157,nm0027271,nm0672459
tt0120184,nm0001469,"nm0000341,nm0934483,nm0369561,nm0001921"
tt0120186,nm0666640,nm0936673
tt0120187,nm0123009,nm0435701
tt0120188,nm0751102,"nm0725983,nm0751102"
tt0120202,nm0000519,nm0000519
tt0120213,nm0446060,"nm0938774,nm0779592"
tt0120271,nm0358327,"nm0345731,nm0570128,nm0639640,nm0947102"
tt0120321,nm0264220,nm0018963
tt0120324,nm0000600,nm0809895
tt0120363,"nm0005124,nm0105169,nm0881279","nm0005124,nm0230032,nm0105169,nm0004056,nm0398763,nm0150155,nm1274593"
tt0120381,nm0194274,nm0194274
tt0120382,nm0001837,nm0629272
tt0120417,nm0759574,"nm0804669,nm0690779,nm0137639"
tt0120435,nm0744985,"nm1121477,nm0744985"
tt0120458,nm0116497,"nm0679326,nm0271022"
tt0120467,nm0424682,nm0424682
tt0120484,nm0178997,"nm0379056,nm0001191"
tt0120510,nm0796117,nm0796117
tt0120531,nm0902939,nm0424907
tt0120533,nm0000095,nm0000095
tt0120570,"nm0291205,nm0141222,nm0000398,nm0001219,nm0000158,nm0550881,nm0609236,nm0005509,nm0003662,nm0005572","nm0041469,nm2512331,nm0096897,nm2021474,nm0279971,nm0000158,nm0418321,nm0006512,nm0567073,nm0652361,nm3338048,nm0718031,nm0938490,nm0003662"
tt0120576,nm0354279,nm0559985
tt0120577,nm0160602,nm0160602
tt0120586,nm0443411,nm0571346
tt0120587,"nm0201509,nm0426333","nm0017305,nm0919363,nm0919369"
tt0120591,nm0000881,"nm0378144,nm0009190,nm0006904,nm0004307,nm0690798"
tt0120593,nm0539369,nm0932735
tt0120594,nm0705535,"nm0203577,nm0454573,nm0705535,nm0859241"
tt0120596,nm0802551,"nm0576362,nm0369841,nm0115669,nm0593477,nm0002787"
tt0120601,nm0005069,nm0442109
tt0120603,nm0001129,"nm0607339,nm0124333,nm0481418,nm0111845"
tt0120604,nm0048491,"nm1511619,nm0494996,nm0152572"
tt0120609,nm0939202,nm0708870
tt0120610,nm0393661,"nm0585296,nm0898982"
tt0120611,nm0635759,nm0275286
tt0120613,nm0001282,nm0336861
tt0120616,nm0814085,"nm0814085,nm0285126,nm0418883,nm0049721,nm0701233,nm0770337"
tt0120618,nm0748928,"nm0903361,nm0748928"
tt0120619,nm0546159,nm0271259
tt0120620,nm0438279,"nm0276178,nm0033153"
tt0120623,"nm0005124,nm0004056","nm0005124,nm0004056,nm0710020,nm0568490,nm0789624"
tt0120627,nm0343604,"nm0166647,nm0343604"
tt0120631,nm0855035,"nm0335666,nm0855035,nm0663002,nm0674518"
tt0120632,nm0797869,"nm0000694,nm0359563,nm0718637,nm0828342"
tt0120633,nm0001873,"nm0364025,nm0001873"
tt0120642,nm0808807,"nm0415469,nm0568339"
tt0120643,nm0640466,"nm0295486,nm0570128,nm0947102"
tt0120646,nm0343260,"nm0593066,nm0771496"
tt0120647,nm0001460,"nm0748022,nm0866062"
tt0120654,nm0756114,"nm0780980,nm0005172,nm0937748"
tt0120655,nm0003620,nm0003620
tt0120657,"nm0001532,nm0000341","nm0000341,nm0936537,nm0507863"
tt0120660,nm0001716,nm0545861
tt0120661,"nm0106451,nm0431971,nm0532263","nm9204947,nm0431971"
tt0120663,nm0000040,"nm0000040,nm0710698,nm0774217"
tt0120667,nm1103162,"nm0004111,nm0289833,nm0498278,nm0456158"
tt0120669,nm0000416,"nm0860219,nm0000416,nm0342617,nm0204000,nm0007182"
tt0120670,nm0005871,nm0815425
tt0120679,nm0853380,"nm0380419,nm0797397,nm1187860,nm0622695,nm0858482"
tt0120680,nm0688096,nm0688096
tt0120683,nm0001486,"nm0001023,nm0031078"
tt0120684,nm0174374,"nm0104161,nm0174374"
tt0120685,nm0000386,"nm0002041,nm0000386,nm0254645,nm0744429"
tt0120686,nm0001060,"nm0505144,nm0625458,nm0737216,nm0394212,nm0060103"
tt0120689,nm0001104,"nm0000175,nm0001104"
tt0120692,nm0449576,nm0449576
tt0120693,nm0205542,"nm0152638,nm0107366"
tt0120694,nm0591171,"nm0384185,nm0000118,nm0002526,nm0338557"
tt0120695,nm0675894,"nm0736155,nm0001675"
tt0120696,nm0004121,nm0003662
tt0120699,nm0001241,"nm0263053,nm0338396"
tt0120701,nm0378893,nm0776114
tt0120703,nm0838198,"nm0573334,nm0060103"
tt0120707,nm0791381,nm0791381
tt0120709,nm0001806,"nm0170462,nm0001806"
tt0120710,nm0001403,"nm0939562,nm0732430,nm0001403"
tt0120711,nm0892144,nm0833089
tt0120716,nm0440914,"nm0065475,nm0440914,nm0213939"
tt0120722,nm0481418,nm0481418
tt0120723,nm0254120,"nm0294580,nm0254120"
tt0120724,nm0007139,nm0211823
tt0120725,nm0390844,"nm0662785,nm0676361"
tt0120728,nm0001775,nm0001775
tt0120737,nm0001392,"nm0866058,nm0909638,nm0101991,nm0001392"
tt0120738,nm0394280,"nm0000740,nm0326040"
tt0120741,nm0000720,"nm0000720,nm0634864,nm0573118"
tt0120742,nm0912889,"nm0911486,nm0912889"
tt0120744,nm0908824,"nm0241416,nm0908824"
tt0120746,nm0132709,"nm0191547,nm0254645,nm0744429,nm0415745,nm0260675"
tt0120749,nm0000887,"nm0669379,nm0465199,nm0742797"
tt0120751,nm0881038,"nm0178260,nm0741656,nm0742797,nm0465199"
tt0120753,nm0000694,"nm0458911,nm0095104"
tt0120754,nm0803966,"nm0771872,nm0803966"
tt0120755,nm0000247,"nm0312367,nm0601822,nm0103804,nm0001801"
tt0120757,nm0798788,"nm0750817,nm0443181,nm0798788,nm0486824"
tt0120762,"nm0051643,nm0176905","nm0760745,nm0398763,nm0761498,nm0493857,nm0802027,nm0098316,nm0213450,nm0998551,nm0930261,nm0388113,nm1434301,nm0560329,nm0177170,nm0424556,nm0258059,nm0326814,nm0335469,nm0635488,nm0941314,nm2131929,nm0650276,nm0721675,nm0234837,nm0460146,nm0723633,nm0252346,nm2132236,nm0774599,nm0423161,nm0632893,nm0811279,nm1511627"
tt0120764,nm0677953,"nm0338804,nm0832300,nm0646818"
tt0120767,nm0026824,"nm0026824,nm0001053"
tt0120768,nm0336620,"nm0218621,nm0289100"
tt0120769,nm0000500,"nm0822827,nm0000500,nm0907635"
tt0120770,nm0287198,"nm0466175,nm0002071,nm0441592"
tt0120772,nm0405336,"nm0565522,nm0913715"
tt0120773,nm0222043,nm0800319
tt0120775,nm0393678,nm0312479
tt0120776,nm0002083,"nm0703683,nm0188733"
tt0120777,nm0740400,nm0740400
tt0120780,nm0001752,"nm0001465,nm0291082"
tt0120782,nm0772522,"nm0153777,nm0296861"
tt0120783,nm0583600,"nm0477696,nm0842582,nm0583600,nm0796124"
tt0120784,nm0001338,"nm0922799,nm0001338,nm0371249"
tt0120786,nm0005871,"nm0374339,nm0839939,nm0455614"
tt0120787,nm0001112,"nm0461425,nm0446761"
tt0120788,nm0892705,"nm0821466,nm0892705"
tt0120789,nm0002657,nm0002657
tt0120791,nm0001162,"nm0388805,nm0842523,nm0326040,nm0111845"
tt0120793,nm0945026,nm0945026
tt0120794,"nm9054338,nm0152312,nm0920425","nm0493857,nm0583292"
tt0120797,nm0001565,"nm0294550,nm0153036,nm0153080"
tt0120800,nm0238865,"nm0152545,nm0210320,nm0771547,nm0269940,nm0782436"
tt0120801,nm0743239,"nm0517589,nm0186193,nm0502072"
tt0120804,nm0027271,nm0027271
tt0120805,nm0253320,nm0109165
tt0120812,nm0711840,"nm0482780,nm0467942"
tt0120813,nm0357453,nm0357453
tt0120815,nm0000229,nm0734441
tt0120820,nm0790715,"nm0258627,nm0563301"
tt0120824,nm0002120,"nm0698925,nm0414608"
tt0120828,nm0718645,nm0115192
tt0120831,nm0420982,nm0420982
tt0120832,nm0000361,"nm0000361,nm0462895"
tt0120834,nm0382956,"nm0349189,nm0060103,nm0382956"
