nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000002,Lauren Bacall,1924,2014,"actress,soundtrack","tt0038355,tt0075213,tt0037382,tt0117057"
nm0000008,Marlon Brando,1924,2004,"actor,soundtrack,director","tt0078788,tt0070849,tt0068646,tt0047296"
nm0000024,John Gielgud,1904,2000,"actor,writer,director","tt0117631,tt0045943,tt0071877,tt0082031"
nm0000056,Paul Newman,1925,2008,"actor,producer,director","tt0110684,tt0257044,tt0054997,tt0084855"
nm0000063,Anthony Quinn,1915,2001,"actor,producer,soundtrack","tt0064952,tt0056172,tt0049456,tt0057831"
nm0000079,Raquel Welch,1940,2023,"actress,soundtrack,producer","tt0061653,tt0072281,tt0068675,tt0066115"
nm0000090,Armin Mueller-Stahl,1930,\N,"actor,director,writer","tt0765443,tt0139809,tt0117631,tt0963178"
nm0000092,John Cleese,1939,\N,"actor,writer,producer","tt0085959,tt0071853,tt0063929,tt0095159"
nm0000093,Brad Pitt,1963,\N,"producer,actor,soundtrack","tt0356910,tt0114746,tt0421715,tt1210166"
nm0000095,Woody Allen,1935,\N,"writer,director,actor","tt0091167,tt0118954,tt0075686,tt0079522"
nm0000096,Gillian Anderson,1968,\N,"actress,producer,soundtrack","tt0106179,tt2294189,tt0455590,tt0442632"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt3442006,tt0279113,tt0108778,tt1723121"
nm0000099,Patricia Arquette,1968,\N,"actress,producer,director","tt1065073,tt0145531,tt0108399,tt0412175"
nm0000101,Dan Aykroyd,1952,\N,"writer,actor,producer","tt0087332,tt0118747,tt0102558,tt0080455"
nm0000102,Kevin Bacon,1958,\N,"actor,producer,soundtrack","tt0164052,tt0327056,tt0087277,tt0361127"
nm0000103,Fairuza Balk,1974,\N,"actress,soundtrack","tt0181875,tt0089908,tt0115963,tt0120586"
nm0000104,Antonio Banderas,1960,\N,"actor,soundtrack,producer","tt0112851,tt0120657,tt0120746,tt1189073"
nm0000105,Adrienne Barbeau,1945,\N,"actress,soundtrack","tt0080749,tt0090685,tt0083767,tt0082340"
nm0000106,Drew Barrymore,1975,\N,"producer,actress,soundtrack","tt0151738,tt0160127,tt0120631,tt0343660"
nm0000107,Kim Basinger,1953,\N,"actress,soundtrack,producer","tt0337921,tt0096895,tt0108525,tt0119488"
nm0000109,Yasmine Bleeth,1968,\N,actress,"tt0096542,tt0115285,tt0131857,tt0337851"
nm0000110,Kenneth Branagh,1960,\N,"actor,producer,director","tt0116477,tt3402236,tt0097499,tt0107616"
nm0000111,Matthew Broderick,1962,\N,"actor,soundtrack,director","tt0086567,tt0395251,tt0115798,tt0091042"
nm0000112,Pierce Brosnan,1953,\N,"actor,producer,soundtrack","tt0155267,tt0795421,tt0143145,tt0120347"
nm0000113,Sandra Bullock,1964,\N,"producer,actress,soundtrack","tt0111257,tt1454468,tt1041829,tt0212346"
nm0000114,Steve Buscemi,1957,\N,"actor,director,producer","tt0116282,tt4686844,tt0105236,tt0162346"
nm0000115,Nicolas Cage,1964,\N,"actor,producer,soundtrack","tt0113627,tt0117500,tt0119094,tt0435705"
nm0000117,Neve Campbell,1973,\N,"actress,producer,soundtrack","tt0120890,tt0117571,tt0120082,tt0134084"
nm0000119,Tia Carrere,1967,\N,"actress,soundtrack,producer","tt0105793,tt0111503,tt0207919,tt0275847"
nm0000120,Jim Carrey,1962,\N,"actor,writer,soundtrack","tt0315327,tt0338013,tt0110475,tt0109040"
nm0000123,George Clooney,1961,\N,"actor,producer,director","tt1124035,tt0433383,tt0465538,tt1193138"
