primaryName,birthYear,nconst,deathYear,primaryProfession,knownForTitles,Ethnicity
50 Cent,1975,nm1265067,\N,"music_artist,soundtrack,actor","tt3079380,tt1211956,tt3281796,tt0430308",African-American
A Martinez,\N,nm0553436,\N,"actor,writer,producer","tt1836037,tt4998632,tt1267295,tt9018736",NA
A. Michael Baldwin,1963,nm0049853,\N,"actor,producer,writer","tt0138703,tt3627704,tt3480662,tt0079714",NA
A. Scott,\N,nm1694947,\N,actor,tt0271210,NA
A.J. Buckley,1977,nm0118568,\N,"actor,producer,director",tt1325001,NA
A.J. Cook,1978,nm0176882,\N,"actress,director,soundtrack","tt0159097,tt0253798,tt0452046,tt12032618",NA
A.J. Tannen,\N,nm0849578,\N,"actor,producer","tt2575988,tt13798316,tt13142324,tt12887536",NA
Aaron Abrams,1978,nm1378320,\N,"actor,producer,writer","tt4474344,tt2243973,tt10738442,tt8851668",NA
Aaron Ashmore,1979,nm0039148,\N,"actor,producer","tt3319920,tt3952222,tt0412253,tt1235448","English, Scottish, Irish, Northern Irish, and Guernsey Channel Islander, possibly other"
Aaron Behr,\N,nm1542212,\N,actor,"tt2364582,tt1433108,tt5453522,tt6222286",NA
Aaron Brown,\N,nm1684924,\N,"actor,miscellaneous,writer","tt0295369,tt0834911,tt0294852,tt0289626",NA
Aaron Burns,1985,nm2746751,\N,"actor,visual_effects,camera_department","tt2403021,tt1077258,tt1691449,tt3605418",NA
Aaron Costa Ganis,\N,nm4953884,\N,"actor,writer,producer","tt4027504,tt2357547,tt5304992,tt7689906",NA
Aaron Dean Eisenberg,\N,nm2005964,\N,"actor,producer,director","tt4998350,tt3597854,tt6407522,tt7637778",NA
Aaron Eckhart,1968,nm0001173,\N,"actor,producer,soundtrack","tt0427944,tt0935075,tt0468569,tt0298814","*father – German
*mother – German, English, Scottish, Northern Irish"
Aaron Hendry,1973,nm0376909,\N,"actor,miscellaneous,sound_department","tt4154858,tt0486551,tt1567432,tt2014230",NA
Aaron Henkin,\N,nm6127825,\N,actor,"tt3104078,tt7248490",NA
Aaron L. McGrath,\N,nm5096350,\N,actor,"tt5091014,tt7298596,tt2274800,tt3914672",NA
Aaron Michael Davies,1984,nm2829975,\N,"actor,director,producer","tt12803726,tt1051981,tt1137437,tt12793234",NA
Aaron Paul,1979,nm0666739,\N,"actor,producer,soundtrack","tt0844708,tt0903747,tt2369135,tt9243946","English, some Scottish and German"
Aaron Pressburg,\N,nm3894605,\N,"actor,producer","tt15438260,tt2329240,tt1645924,tt5103842",NA
Aaron Refvem,1997,nm2532557,\N,actor,"tt0385700,tt0056758,tt0395843,tt1124373",NA
Aaron Sherry,1979,nm1787753,\N,"producer,editor,actor","tt0436057,tt4578084,tt7874354,tt1833611",NA
Aaron Stanford,\N,nm0822155,\N,"actor,editorial_department,producer","tt3148266,tt1592154,tt0454841,tt0290334",NA
Aaron Staton,1980,nm1837590,\N,"actor,writer","tt1764429,tt0804503,tt0489237,tt0426931",NA
Aaron Taylor-Johnson,1990,nm1093951,\N,"actor,producer,soundtrack","tt1266029,tt1650554,tt4550098,tt1250777",NA
Aaron Tveit,1983,nm3117836,\N,"actor,soundtrack","tt1707386,tt4366830,tt1682246,tt1547234","German, Norwegian, Swedish, Danish, English, Irish, Polish"
Aaron Yoo,1979,nm1683094,\N,"actor,cinematographer","tt0478087,tt0981227,tt0758746,tt0486822",NA
Aasha Davis,\N,nm1632532,\N,"actress,producer","tt1233334,tt0758745,tt0462139,tt2712612",NA
Aasif Mandvi,1966,nm0541902,\N,"actor,producer,writer","tt1647668,tt1041829,tt9055008,tt1666339",NA
Abbey Merow,\N,nm4388888,\N,actress,tt0496673,NA
Abbie Cornish,1982,nm0180411,\N,"actress,producer","tt1931533,tt0810784,tt5027774,tt0424880","English, other"
Abby Elliott,1987,nm2212031,\N,"actress,soundtrack,writer","tt1291150,tt1411238,tt0072562,tt1663143","*father – English, Scottish, German, remote French
*mother – German"
Abby Quinn,\N,nm5362984,\N,"actress,soundtrack,producer","tt3292080,tt5737862,tt6317180,tt7985692",NA
Abel Becerra,\N,nm2510045,\N,"actor,composer,music_department","tt1020936,tt1582458,tt0455275,tt1757762",NA
Abhishek H.N.,\N,nm7472609,\N,actor,"tt13243284,tt4881362,tt13243506,tt13175778",NA
Abigail Breslin,1996,nm1113550,\N,"actress,director,soundtrack","tt0449059,tt0286106,tt0832266,tt1322269","Irish, as well as English, German, one quarter Ashkenazi Jewish"
Abigail Klein,1988,nm3676950,\N,actress,"tt0058796,tt4125654,tt2109248,tt1232200","*father – German
*maternal grandfather – Italian, Romanian
*maternal grandmother – English, some Scottish"
Abigail Mason,1989,nm2211996,\N,"actress,writer,producer","tt2261391,tt0887788,tt0918557,tt0426371",NA
Abigail Spencer,1981,nm0817844,\N,"actress,producer,writer","tt0409847,tt0804503,tt2183404,tt1623205","English, about one eighth German, some Scottish, 1/1024 Chickasaw Native American"
Abraham Attah,2002,nm6781688,\N,"actor,producer","tt4742776,tt8647010,tt2250912,tt1365050",NA
Adair Tishler,1996,nm1442940,\N,"actress,soundtrack","tt0158552,tt0829297,tt0813715,tt1135300",NA
Adam Arkin,1956,nm0035060,\N,"actor,director,producer","tt1124373,tt5761496,tt1019452,tt1489428",Ashkenazi Jewish
Adam Baldwin,1962,nm0000284,\N,"actor,soundtrack","tt0116629,tt0093058,tt0379786,tt0187393",NA
Adam Barrie,\N,nm2291542,\N,actor,"tt1232783,tt4359754,tt1500512,tt1582465",NA
Adam Beach,1972,nm0063440,\N,"actor,producer,miscellaneous","tt0245562,tt0409847,tt0418689,tt0245686",Ojibwe [Saulteaux]
Adam Brody,1979,nm0111013,\N,"actor,producer,soundtrack","tt7798634,tt0362359,tt0419843,tt0356910",Ashkenazi Jewish
Adam Brooks,\N,nm2726915,\N,"actor,writer,producer","tt16293970,tt3067274,tt6114202,tt1727261",NA
Adam Brooks,1956,nm0111845,\N,"writer,producer,director","tt1178663,tt0086876,tt0317198,tt0832266",NA
Adam Busch,1978,nm0123951,\N,"actor,director,music_department","tt0110413,tt2169273,tt1232775,tt0465142",Ashkenazi Jewish
Adam C. Edwards,1979,nm1424572,\N,"stunts,actor,miscellaneous","tt1951266,tt0380510,tt2820852,tt0430357",NA
Adam Campbell,1980,nm0968405,\N,"actor,writer","tt4955480,tt1195478,tt2378794,tt3339966",NA
Adam Carolla,1964,nm0004805,\N,"writer,producer,actor","tt0202741,tt0814130,tt1772341,tt4875844","*father – Italian
*mother – German, Irish, English, Scottish"
Adam Chubbuck,1985,nm1076235,\N,actor,tt0209077,NA
Adam Copeland,1973,nm0178581,\N,actor,"tt0227972,tt1519931,tt3107288,tt2306299",NA
Adam Cronheim,\N,nm5218311,\N,"actor,producer","tt4527664,tt3886672,tt2272350,tt3894094",NA
Adam Devine,1983,nm2796745,\N,"actor,writer,producer","tt1981677,tt1610527,tt2823054,tt2452244","Dutch, Irish, English, some German"
Adam DiMarco,\N,nm4348240,\N,actor,"tt8295472,tt13406094,tt2008633,tt4254242",NA
Adam Driver,1983,nm3485845,\N,"actor,soundtrack,producer","tt5247022,tt7653254,tt2527336,tt2488496","English, one eighth Dutch/Frisian, German, Irish, Scottish, Scots-Irish/Northern Irish, more distant Welsh and French, remote Swedish"
Adam Echahly,\N,nm1304748,\N,actor,tt0294806,NA
Adam Freeman,\N,nm3095117,\N,actor,"tt1355683,tt2083332,tt3012698,tt1748122",NA
Adam Garcia,1973,nm0305081,\N,"actor,soundtrack,producer","tt3402236,tt0361467,tt0200550,tt0200027","*father – Colombian
*mother – Scottish, possibly other"
Adam Gates,\N,nm2181077,\N,"writer,director,actor","tt11086284,tt2051963,tt22463534,tt15554046",NA
Adam Gnegne,\N,nm7266471,\N,actor,tt3486542,NA
Adam Goldberg,1970,nm0004965,\N,"actor,producer,director","tt0106677,tt0120815,tt0268978,tt0453467","*father – Ashkenazi Jewish
*maternal grandfather – German
*maternal grandmother – Mexican [Spanish, Mexican], with some French, English, Irish"
Adam Greaves-Neal,\N,nm6026206,\N,actor,"tt6921996,tt1475582,tt7076630,tt1002563",NA
Adam Gregory,1987,nm2791615,\N,"actor,cinematographer,producer","tt0203259,tt0092325,tt1225901,tt14300966",NA
Adam Grimes,1976,nm0342182,\N,"actor,director,writer","tt1320244,tt0244365,tt1694508,tt1483830",NA
Adam Hendershott,1983,nm0376307,\N,"actor,camera_department,miscellaneous","tt0815244,tt0412253,tt0105932,tt0108983",NA
Adam Hicks,1992,nm0382791,\N,"actor,music_department,soundtrack","tt1189346,tt3181822,tt0462346,tt1648204",NA
Adam Huss,1977,nm0403937,\N,"actor,producer,writer","tt6187620,tt3281796,tt0056758,tt1533053","Italian, Irish, other"
Adam Irigoyen,1997,nm3679481,\N,"actor,assistant_director,producer","tt2402207,tt7713352,tt1661326,tt1936532",Cuban
Adam James,1972,nm0416253,\N,"actor,miscellaneous","tt11204260,tt15548144,tt11846996,tt4602768",NA
Adam Johnson,\N,nm0424453,\N,"actor,art_director,soundtrack","tt4236770,tt2467372,tt7612548,tt4181172",NA
Adam Kantor,1986,nm3142987,\N,"actor,writer,producer","tt1273675,tt1442462,tt12131194,tt4270492",NA
Adam Kaufman,\N,nm0442066,\N,actor,"tt0118276,tt0364845,tt0289830,tt0457275",NA
Adam Kern,\N,nm2300913,\N,"actor,producer,writer","tt1815997,tt1205506,tt3482062,tt6079516",NA
Adam LaFramboise,\N,nm1742168,\N,actor,"tt1427844,tt3363862,tt1352753,tt0778627",NA
Adam LeFevre,1950,nm0480775,\N,"actor,soundtrack,writer","tt0368008,tt0815236,tt0386588,tt0770752",NA
Adam Lustick,\N,nm3713920,\N,"actor,writer,producer","tt3079146,tt4622512,tt13788062,tt7211556",NA
Adam Nee,\N,nm1519639,\N,"actor,writer,director","tt4048668,tt13320622,tt0427340",NA
Adam Noble,\N,nm6531142,\N,actor,"tt3765892,tt8073604,tt15168802,tt6462084",NA
Adam Pascal,1970,nm0664238,\N,"actor,soundtrack,composer","tt0332379,tt8721424,tt0294870,tt0133189",Ashkenazi Jewish
Adam Quintero,\N,nm1971513,\N,"actor,miscellaneous","tt14689620,tt2409818,tt5096478,tt7428476",NA
Adam Raque,1989,nm2828438,\N,actor,"tt1294144,tt1488594,tt0247082,tt1441109",NA
Adam Rayner,1977,nm1501374,\N,actor,"tt0969007,tt2568204,tt2569088,tt2069449",NA
Adam Rifkin,1966,nm0726472,\N,"writer,director,producer","tt0122718,tt0810951,tt1727252,tt5836316",NA
Adam Rodriguez,\N,nm0735226,\N,"actor,producer,director","tt0201391,tt2268016,tt1915581,tt0313043",NA
Adam Rothenberg,1975,nm1079976,\N,"actor,soundtrack,producer","tt4761112,tt1951181,tt0412142,tt0951216",NA
Adam Sandler,1966,nm0001191,\N,"actor,producer,writer","tt0185431,tt0120888,tt0120484,tt0142342",Ashkenazi Jewish
Adam Scott,1973,nm0004395,\N,"actor,producer,soundtrack","tt3920596,tt1266020,tt0838283,tt11280740","Italian/Sicilian (maternal grandfather), Scottish, Dutch, Irish, English, distant French"
Adam Senn,1984,nm3257161,\N,"actor,producer","tt11853308,tt2368645,tt2450056,tt1791682",NA
Adam Sessa,\N,nm3185809,\N,actor,"tt2145637,tt1316037,tt3315184,tt1663675",NA
Adam Sevani,1992,nm1782560,\N,actor,"tt1592873,tt1193631,tt2626350,tt1023481","Armenian, Italian"
Adam Shapiro,\N,nm1995781,\N,"actor,director,editor","tt2080374,tt11198810,tt10618286,tt10062292",NA
Adam Wingard,1982,nm1417392,\N,"director,editor,cinematographer","tt2980592,tt5034838,tt2105044,tt1853739",NA
Adam Wylie,1984,nm0943766,\N,"actor,soundtrack,miscellaneous","tt0103512,tt0160429,tt0128801,tt0111333",NA
Addie Land,1988,nm1503426,\N,actress,"tt0389988,tt0460925,tt0808272",NA
Addison Graham,1984,nm4059812,\N,"actor,assistant_director,camera_department","tt2378567,tt4042326,tt14026786,tt3083006",NA
Addison Steege,\N,nm6008394,\N,"actor,art_department,camera_department","tt10359764,tt3252360",NA
Addison Timlin,1991,nm1789970,\N,"actress,producer,soundtrack","tt1389096,tt1564777,tt0398017,tt1767354","Irish, small amount of French-Canadian"
Adebukola Bodunrin,\N,nm4755360,\N,"animation_department,director,actress","tt4287598,tt5390422,tt3118296,tt2621742",NA
Adelaide Clemens,1989,nm2564938,\N,"actress,soundtrack","tt2183404,tt1343092,tt1956017,tt1998372",NA
Adelaide Kane,1990,nm2560043,\N,"actress,producer","tt2184339,tt1304612,tt0088580,tt2710394","Ethnicity
*father – Scottish
*mother – French, Scottish, Irish"
Adepero Oduye,\N,nm1323822,\N,"actress,writer,director","tt1233334,tt1596363,tt1981128,tt2024544",NA
Adewale Akinnuoye-Agbaje,1967,nm0015382,\N,"actor,director,writer",tt1127881,NA
Adil Hussain,1963,nm1300009,\N,"actor,producer","tt2181931,tt0454876,tt7213936,tt5997928",NA
Adina Stetcu,\N,nm6475171,\N,actress,"tt14465482,tt3503840,tt5640076,tt9815714",NA
Adolfo Mendez-Nouel,\N,nm3783690,\N,actor,"tt3136112,tt1697716,tt1494652,tt2700114",NA
Adria Arjona,1992,nm5245722,\N,"actress,producer","tt2356777,tt5108870,tt13249596,tt8106534","*Guatemalan (father)
*Puerto Rican (mother)"
