budget,genres,id,imdb_id,title,production_companies,production_countries,release_date,revenue,runtime,spoken_languages
0,"Drama, Romance, War",56077,tt0120271,Talk of Angels,"{Kanzaman}, {Kan Zamia-a}, {Polaris Pictures}",US,1998-10-30,0,96,"[{'iso_639_1': 'en', 'name': 'English'}]"
50000000,"Action, Drama, Thriller",9458,tt0118966,Desperate Measures,"{TriStar Pictures}, {Mandalay Entertainment}",US,1998-01-30,0,100,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Horror, Science Fiction, Thriller",9827,tt0119891,Phantoms,"{Miramax Films}, {Dimension Films}",US,1998-01-23,5624282,91,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,Comedy,31535,tt0118836,Chairman of the Board,{101st Street Films},US,1998-03-13,0,95,"[{'iso_639_1': 'en', 'name': 'English'}]"
6000000,"Comedy, Drama, Fantasy, Romance",10215,tt0120148,Sliding Doors,"{Paramount Pictures}, {Miramax Films}, {Intermedia Films}, {Mirage Enterprises}","GB, US",1998-04-23,58000000,99,"[{'iso_639_1': 'en', 'name': 'English'}]"
60000000,"Comedy, Drama",37165,tt0120382,The Truman Show,"{Paramount Pictures}, {Scott Rudin Productions}",US,1998-06-04,264118201,103,"[{'iso_639_1': 'en', 'name': 'English'}]"
60000000,"Drama, Romance",547,tt0119314,The Horse Whisperer,"{Wildwood Enterprises}, {Touchstone Pictures}",US,1998-05-14,186883563,170,"[{'iso_639_1': 'en', 'name': 'English'}]"
15000000,"Comedy, Crime",115,tt0118715,The Big Lebowski,"{Gramercy Pictures}, {PolyGram Filmed Entertainment}, {Working Title Films}","GB, US",1998-03-06,46189568,117,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'he', 'name': 'עִבְרִית'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]"
25000000,"Comedy, Drama, Romance",9410,tt0119223,Great Expectations,"{Twentieth Century Fox Film Corporation}, {Art Linson Productions}",US,1998-01-19,55494066,111,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Action, Comedy, Family",32302,tt0118539,3 Ninjas: High Noon at Mega Mountain,"{TriStar Pictures}, {Leeds/Ben-Ami Productions}, {Sheen Productions}",US,1998-04-10,0,93,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]"
0,"Drama, Thriller, Crime",88863,tt0119988,Caught Up,"{Live Entertainment}, {Heller Highwater Productions}",US,1998-02-27,0,97,"[{'iso_639_1': 'en', 'name': 'English'}]"
19000000,"Action, Adventure, Thriller",41417,tt0120670,Firestorm,{Twentieth Century Fox Film Corporation},US,1998-01-08,0,89,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Comedy, Romance",12538,tt0120820,Senseless,{Dimension Films},US,1998-02-20,13035599,93,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'Português'}]"
27000000,"Mystery, Science Fiction",2666,tt0118929,Dark City,"{New Line Cinema}, {Mystery Clock Cinema}","AU, US",1998-02-27,27200316,100,"[{'iso_639_1': 'en', 'name': 'English'}]"
70000000,Thriller,11258,tt0120696,Hard Rain,"{Paramount Pictures}, {Toho-Towa}, {Mutual Film Company}, {PolyGram Filmed Entertainment}, {Marubeni}, {Tele München Fernseh Produktionsgesellschaft (TMG)}, {UGC PH}, {British Broadcasting Corporation (BBC) Television}, {Stargate Studios}","DK, FR, NZ, GB, US",1998-01-16,19870567,97,"[{'iso_639_1': 'en', 'name': 'English'}]"
8000000,"Comedy, Crime",9490,tt0120693,Half Baked,{Universal Pictures},US,1998-01-16,17460020,82,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'tr', 'name': 'Türkçe'}]"
0,"Thriller, Fantasy, Crime, Drama",9411,tt0119099,Fallen,"{Atlas Entertainment}, {Turner Pictures (I)}",US,1998-01-16,25232289,124,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Fantasy, Horror, Thriller",9033,tt0118643,The Prophecy II,,US,1998-01-20,0,87,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]"
45000000,"Adventure, Action, Horror, Science Fiction",9457,tt0118956,Deep Rising,"{Hollywood Pictures}, {Cinergi Pictures Entertainment}, {Calimari Productions}","CA, US",1998-01-30,11203026,106,"[{'iso_639_1': 'ko', 'name': '한국어/조선말'}, {'iso_639_1': 'en', 'name': 'English'}]"
0,"Comedy, Drama, Romance",39424,tt0119734,Music from Another Room,,US,1998-04-24,0,104,"[{'iso_639_1': 'en', 'name': 'English'}]"
30000000,"Action, Drama, Crime, Thriller",11702,tt0120008,The Replacement Killers,{Columbia Pictures Corporation},US,1998-02-06,19204929,87,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'cs', 'name': 'Český'}, {'iso_639_1': 'en', 'name': 'English'}]"
0,"Romance, Crime, Drama",2923,tt0120594,B. Monkey,"{Miramax Films}, {Synchronistic Pictures}, {Scala Productions}","GB, US",1998-11-07,0,94,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
